노래명	장르명	BPM	alias-1	alias-2	memo
(This Is Not) The Angels	BIG BEAT/BREAKBEATS	33–130			
0.59	CHILL OUT	123–135			
1st Samurai	お江戸テクノ	175–200			후반에 이요~하고 bpm 175->200
2 Player	BEAT PIANO MUSIC	129–220			
2hot2eat	HINDU SALSA	140–155			
3!dolon Forc3	THE 4th	96–191	이돌론포스		
50th Memorial Songs -Flagship medley-	ANNIVERSARY	135–175			
100sec. Kitchen Battle!!	SPECIAL COOKING	178?(표기) 88–178(N),11–178(H)	키친배틀		
A	RENAISSANCE	93–191			중반에 빨라짐
A-JAX (3-WAY MIX)	GAME MUSIC	62–224			중반에 224->174, 한 30초뒤에 154, 거의 끝날때 142
ABSOLUTE	EPIC TRANCE	60–144			마지막소절 점점느려짐..
Agnus Dei	GOTHIC METAL	70–168			처음에 잠깐 느리게 시작하고 쭉 168 마지막 5초정도 160
Ah Hah Yeah	UPTEMPO RAW	115–230			초견살 엄청 심함. 유튜브서 변속 숙지 필수
airflow	INSTRUMENTAL	40–148			
airflow -dreaming of the sky-	ROCK FUSION	40–148			
Amnolys	ART CORE	140–180			
AsiaN distractive	WORLD	132–157			
Astrogazer	PROGRESSIVE EDM	150–155			
avant-guerre	CLASSICAL PIANO SOLO	130–146			
AWA AWA	BOSSA NA NOKA	95–165			
Beat Juggling Mix	DJ BATTLE	66–198			
BitRacer	FM JAZZY TECH	132–158			
Bitter & Lucky	NU SYNTH BASS	135–180			
Blind Justice ~Torn souls, Hurt Faiths~	EPIC POETRY	137–165	블저		마지막 마디 조금씩 느려짐
BREAK OVER	FESTIVAL SOUND	106–150			
C-C-C-N-N-N	ELECTRONICORE	162–180	씨씨씨엔엔엔		초견 절대 유튜브로 패턴 한 번 봐
chaos eater -IIDX edition-	HARD STEP	105–210 (코어 BPM: 210)			
CHECKING YOU OUT	HIP HOP	108–216			
Close my Eyes for Me	AMERICA	132–145			
Concertino in Blue	PROGRESSIVE	103–155	컨첼		무조건 꼭 155에 맞추고 극후반 플로팅 필요
Cosy Catastrophe	DRUMSTEP	90–360			
Cradle	HEALIN' HARDCORE	160–188			
D	NEXT SKOOL BREAKBEATS HARDCORE	30–240			유튜브로 패턴 숙지 필수
DANCER	NU SKOOL	145–149			
DAY DREAM	DARK PROGRESSIVE	80–300	데이드림		유튜브로 패턴 숙지 필수
DIAMOND JACKAL	ENIGMATIC BASS HARDCORE	115–230			
Discloze	Hi-TECH PSYTRANCE	128–145			
DropZ-Line-	PUMPCORE	50–400	드롭제트		
dual control	GARAGE HOUSE	131–140			
DUE TOMORROW	TECHNO	100–400	듀튜머로우		유튜브로 패턴 숙지 필수
earth scape	PIANO BALLAD	45–94			
EMERALDAS	IRREGULAR DJENT STEP	88–176			
empathy	DRUM'N'BASS	170 85–170			
era (nostalmix)	DRUM'N'BASS	90–180			
era (step mix)	DRUM'N'BASS	90–180			
eRAseRmOToRpHAntOM	HARDCORE	135–270	이레이져모터팬텀		
EVANESCENT	PROGRESSIVE ROCK	127–165			초반에 느려질때 서서히 느려지다가 다시 빨라짐
Fascination MAXX	SuperNOVA BEAT	100–400			SOFLAN 조심
Fire Beat	Experimental Eurobeat EXPERIMENTAL EUROBEAT	157–300			
fixer	DOUBLE DRIVE	75–215			
FLOWERS for ALBION	AMBIENT	70–93			
four pieces of heaven	JUNGLE	125–195			중간에 플로팅 존재, 어나더 레겐 둘다 유튜브 숙지 추천
fun	FUNK SHUFFLE	100–200			
FUTURE is Dead	HOLIC	110(N,H) 110–220(A)			
Game Changers	HARD MIXTURE	105–210			
Ganymede	ESOTERIC SLOWCORE	72–82	가니메데		레겐더리아 배치 숙지 추천
GET READY!!	HARDCORE RAVE	88–175			
GHOST	FREEFORM HARDCORE	150–180			
Glitch N Ride	COLOUR BASS	30–300			
Glorious Days	HIP HOP & SOUL	40–83			
GLORIOUS HAMMER	DUBSTEP	155–160			
GRADIUS -FULL SPEED-	GAME MUSIC	160–220			
GRADIUSIC CYBER	DIGI-ROCK	(노멀, 하이퍼)159–167 (어나더)160–167			
Hallucination	PSYCHEDELIC TRANCE	120–160			
HAPPY☆LUCKY☆YEAPPY	YEAPPY HARDCORE	190–380			
Hella Deep	FREESTYLE	132–150			
Holy Snow	CHRISTMAS SYMPHONY	130–160			
hora de verdad	CYBER FLAMENCO	140–280			
ICARUS	NU-SKOOL BREAKBEATS HARDCORE	126–251			중간 126->251 서서히 가속, 유튜브로 패턴 숙지 추천
Ignis†Iræ	X	188–191	이그니스이레		
In The Breeze	HYBRID	123–142			초반에 조금 느려서 142로 맞추고 시작할 것
INSERTiON	EURO TRANCE	110–225			
Jack	MIXTURE	167–210			
JAM	J-REVIVAL	71–225			
JOMANDA	HARD RENAISSANCE	90–195(300)			
kors k's How to make OTOGE CORE	CHANNEL K	124–190			
kors k's How to make OTOGE CORE 「LONG」	CHANNEL K	124–190			
L'amour et la liberte	TRANCE	140–145			
Last Card	BEBOP CORE	85–170 (코어 BPM: 170)			
Lethal Weapon	RECKLESS HARDCORE	90–180	리설 웨폰		중반 플로팅
Linus	LOUNGE POP	160–176			
Little Little Princess	PUNK OPERA	212 (N) 180–212 (H, A, L)			
Marie Antoinette	宮廷円舞曲	205–248			
MAX 300	HARDCORE TECHNO	64–300 (코어 BPM: 300)			
MAX 360	HARDCORE TECHNO	180–720 (코어 BPM: 360)			
Meissa	PROGRESSIVE DRUM'N'BASS	124–174			
