노래명	장르명	BPM	alias-1	alias-2	memo
A	RENAISSANCE	93–191			
A Certified Rave Moment	MULTIGENRE	165			
A MINSTREL ～ver. short-scape～	LA FABELO	114			CHORD 조심
A Tale Hidden In The Abyss	COMMENT OUT	216			
A-JAX (3-WAY MIX)	GAME MUSIC	62–224			
AA	RENAISSANCE	154			
AA -rebuild-	RENAISSANCE	154			
Abraxas	DUBSTEP	165			
ABSOLUTE	EPIC TRANCE	60–144			
ABSOLUTE (kors k Remix)	IIDX ANTHEM REVIVAL	160			
ABSOLUTE EVIL	EUPHORIC FRENCHCORE	200			
abstract	BIG BEAT	125			
ACCELERATE	SYNTH-TECH	153			
Acid Pumper	HARD DANCE	150			
ACID VISION	LIQUID FUNK DRUM & BASS	182			
Acidiva 303	HARD DANCE	150			
ACT	RAVE	180			
ACTØ	NEOTRANCE CORE	185			
ADAMANT	HARDCORE	200			
Adularia	ARTCORE	180			
ADVANCE	ELECTRONICA	100			
Advent Infamous	NEO DIGITAL FUTURE	150			
Aegis	TECHNO	162			
Aerial Skydive	DRUM & BASS	175			
Aeterna	UNSUNG FANTASIA	180			
Affection	HARD DANCE	150			
AFRO KNUCKLE	AFRO-SAMBA	145			
Afterimage d'automne	ASYMMETRY ART	232			
Aftermath	ROCK	200			
AGAiN	HARDCORE	174			
AGEHA	HAPPY HARDCORE	180			
AGETEKE ONDO	JAPANESE OMATSURI ROCK	164			
Agnus Dei	GOTHIC METAL	70–168			
Ah Hah Yeah	UPTEMPO RAW	115–230			
Air Bell	FLOW POP	171			
AIR RAID FROM THA UNDAGROUND	SPEEDCORE	유비트 리플즈 어펜드			
airflow	INSTRUMENTAL	40–148			
airflow -dreaming of the sky-	ROCK FUSION	40–148			
AKASHIC BREAK	LAPLACE CORE	205			
ALBA -黎明-	HYPER GOTHIC BEAT	165			
ALBIDA	HARD RENAISSANCE	185			
ALFARSHEAR 双神威に廻る夢	HYPER J-POP SEVEN	170			
ALIEN TEMPLE	PSYCHEDELIC TRANCE	145			
ALIEN WORLD	PSYCHEDELIC TRANCE	145			
ALL I NEED YOUR LOVE	HARD CORE	145			
All is Wrecked	INDUSTRIAL METAL	170			
ALL MY TURN -このターンに、オレの全てを賭ける-	ONLY ONE EURO BEAT	170			
ALL OK!!	HYPER POP / BREAKCORE	183			
ALL RIGHT	DRUM'N'BASS	180			
alla turca con passione	NATURAL SOUND	140			
Almace	TECHNO	172			
Almagest	AKASHIC RECORDS	178			
Alpheratz	PIANO TRANCE	154			
ALTERNATOR	IRREGULAR OMNIBUS HARDCORE	185			
Always We Trust In You	EMOTIONAL HAPPY EUPHORIA	190			
Amabie	ORIENTAL FUTURE BASS	168			
Amazing Mirage	HiTECH FULLON	153			
Ambivalent Vermilia	HARD RENAISSANCE	185			
Ambush Ace	ELECTRO FUSION	158			
Amethyst	TRANCE	155			
AMICABLE	FUTURE POP	158			
Amnolys	ART CORE	140–180			
Amor∞Fati	PIANO DANCE APPASSIONATO	170			
Amor De Verão	熱帯 THE BASS	138			
AMRITA -不滅ノ花-	ORIENTAL TRANCE	152			
ANAGMA	PSY TECH DANCE	150			
ANAGRAMS I to Y	DANCE POP	180			
ANCHOR	STYLISH CROSSOVER	180			
Ancient Scapes	DYNASTIC FREEFORM	178			
And-RoiD	J-POP	173			
ANDROMEDA	PSYCHEDELIC GOA TRANCE	150			
ANDROMEDA II	PSYCHEDELIC SYNTH TRANCE	150			
ANEMONE	EMOTIONAL J-POP	174			
Angel's Ladder	PIANO TECH	155			
Angelic Jelly	HAPPY で HARDCORE	200			
Angels & Demons	DRUM & BASS	174			
Anisakis-somatic mutation type "Forza"-	HARD RENAISSANCE	185			
Answer	STARPOP	156			
ANTHEM LANDING	LATIN TEK	151			
anthracene	HYPER EUROBEATECHNO	175			
Antigravity	HARDCORE DANCE SPEED	222			
AO-1	DANCE EXPRESS	195			
AO-∞	DANCE SPEED	191	AO-infinity		
apo:llioth	HARDCORE	200			
Apocalypse	EPIC D'N'B	165			
Apocalypse ~dirge of swans~	ORATORIO	170			
Aqvion	AQUATIC TECHCORE	175			
Arabian Rave Night	ARABIC HARDCORE	180			
Arca	GENESIS	185			
Arcana	UPLIFTING TRANCE	143			
Arcanos	NOSTALGIC ARTCORE	96			
Ariah	UNSUNG REQUIEM	198			
Arkadia	FREEFORM HARDCORE	180			
Around the Future	CYBERCORE	162			
Smashing Wedge	HARDCORE	215			
As You Want	CYBER LIQUID FUNK	177			
Ascalon	ELECTRO POP	185			
AsiaN distractive	WORLD	132–157			
ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS)	BIG BEAT	150			
